toinc,ttotex
408653,233687
44817,37872
50965,55172
380846,244768
342002,265861
186116,186179
143730,136450
164337,169732
119965,93603
120538,121421
114822,132178
360960,230743
99940,86072
146466,104512
120917,123173
108502,62105
71396,56542
279350,179615
106898,102228
47686,28552
82793,68347
52797,44844
116614,133516
79259,84872
172861,107252
43148,33195
114129,113142
112786,90932
103667,90187
191385,124716
99492,47288
60546,58916
160510,151314
75805,83495
96612,73625
101626,85920
268709,238170
32506,30842
44084,35076
365206,312732
364693,299136
89102,90801
222823,235107
190203,177576
552323,398916
190778,124869
378009,484913
218643,193018
372816,277242
140054,139234
129040,113139
186513,137860
68046,63471
560099,409664
90826,93122
160600,93553
149837,141426
898533,614389
204474,166146
164193,128851
146403,124561
121540,133789
160490,151020
92939,92426
176368,121888
137568,113422
174926,119208
208303,174885
460199,361214
189391,140457
499684,406900
113775,75812
86971,88044
54082,41112
213946,202937
443168,428451
116219,65132
193055,144547
163960,137032
142538,118625
187504,138353
232900,228075
465311,410489
198887,193638
226378,210594
165233,128425
102007,96788
109636,104921
124165,120014
98803,94007
214820,186694
148353,131147
675630,477869
360064,298167
149524,181999
1431100,1146454
396301,331269
222781,160764
168937,175866
413710,362184
275556,217993
650714,288033
182822,181284
299740,184839
188025,171531
200312,75951
688365,527648
139948,111927
91822,81756
138785,120992
458800,246804
164460,133784
213228,174152
111310,103545
66086,56451
113852,97922
146865,135605
140905,116434
80540,317044
131200,116109
149445,121151
145118,84879
207921,134717
212932,121229
315332,211965
290474,253232
201870,148400
260401,237435
180830,131261
65470,57529
459589,393857
142964,131027
116022,92975
89962,86402
67177,39216
86380,50403
114383,100744
30721,25076
125518,108874
138663,125435
430348,235994
177667,132813
137049,137311
741308,468289
1182966,749043
329060,269830
162859,83325
453906,259698
138740,120014
318512,190788
101337,101447
326650,297181
176935,185555
35688,35513
808197,624566
94238,72595
411536,379503
330750,296941
62047,55757
146180,119799
189553,153428
124171,98466
24017,22696
208512,207401
132542,127100
189660,165274
142869,108094
116360,112442
105349,98978
180186,170230
186634,140525
157272,108871
273722,203404
181038,115520
124578,116798
76832,67400
128716,110229
161792,166670
671245,518143
211481,198253
289732,258526
157046,200178
355985,314940
396065,311248
345420,268221
271656,212199
422201,347548
335708,257245
272495,172768
177412,167800
253612,253942
62208,56139
906416,603882
485060,201123
180232,183030
242254,293602
183866,195450
258840,233680
1208286,735049
338429,260843
256873,289945
231580,228062
80726,76756
418648,290676
459048,387767
369460,389520
53924,44793
172361,161554
191457,111869
524594,371732
331150,322370
326221,301724
857056,763049
129180,73941
624955,459591
803787,646274
306806,287765
221398,200887
242433,188838
163062,176001
137695,124365
71379,69194
169971,145952
183857,151848
177337,183394
177820,182305
361743,232877
166147,202336
139200,195084
406340,303860
716910,723265
663068,494874
195513,175951
96750,104450
118721,96302
949565,425977
562600,427153
268134,279230
94958,80711
128471,111012
250660,260866
530603,367242
105662,106047
127543,128844
111295,109457
76189,151851
166519,157111
210066,129076
145049,139284
691700,477677
102232,96347
820441,656792
340015,243347
471257,408558
138939,107999
124262,125897
217830,183725
154730,172642
82639,73602
281756,277524
567590,513030
121937,105129
211810,157387
114035,105164
341740,299185
522943,429864
179250,148220
617540,528163
212554,190573
192280,160395
251846,213531
178853,132725
374464,207571
111342,97299
358665,290302
219080,158213
256879,184989
256535,168900
79562,74500
61082,63089
328247,191191
121801,108956
1935306,429838
111012,85962
482281,513564
188382,164465
160771,164862
140312,112546
175781,130566
1046834,768117
331815,268016
159498,139657
151631,133737
148265,134271
582070,378972
150556,140189
75860,63282
90935,105654
155058,148223
163352,189030
50338,44846
112508,95686
247148,290013
160074,108101
142628,143220
143319,118705
128916,149983
114620,111912
133684,98918
130266,107236
115437,92967
121570,92745
282507,196571
260502,152330
529276,466375
